# CAMIRA HSC S20A Wide cluster catalog with star mask
# (updated version of catalog presented in Oguri+2018, PASJ, 70, S20)
# column 1: ID
# column 2: Name
# column 3: RA [deg]
# column 4: Dec [deg]
# column 5: cluster photometric redshift z_cl
# column 6: richness N_mem
# column 7: spectroscopic redshift of BCG (-1.0 if not available)
  219 HSCJ011002+012916  17.510364   1.487766 0.8903  31.698 -1.0
  220 HSCJ011007+011033  17.528017   1.175925 0.9530  17.230 -1.0
  221 HSCJ011025+011237  17.603119   1.210398 0.9462  28.023 -1.0
  222 HSCJ011040+010400  17.665720   1.066737 0.1740  19.339 0.17638
  223 HSCJ011046+001142  17.691042   0.194885 0.4096  18.060 0.40533
  224 HSCJ011046+005351  17.692296   0.897530 0.7285  23.638 -1.0
  225 HSCJ011057+013752  17.739310   1.631038 0.8751  30.274 -1.0
  226 HSCJ011059+005746  17.744196   0.962899 0.9299  25.585 -1.0
  227 HSCJ011116+020950  17.815424   2.163810 0.8880  16.527 -1.0
  228 HSCJ011124+014921  17.850688   1.822534 0.8082  34.312 0.81178
  229 HSCJ011128+015802  17.866442   1.967342 0.3060  15.298 0.33840
  230 HSCJ011130+005100  17.875219   0.849987 0.4012  26.809 0.41456
  231 HSCJ011132+015239  17.883536   1.877400 0.8079  33.160 -1.0
  232 HSCJ011132-000139  17.884498  -0.027368 0.2453  20.228 0.29634
  233 HSCJ011144+004904  17.935131   0.817738 0.9376  17.193 -1.0
  234 HSCJ011149-002951  17.954202  -0.497490 0.1730  17.811 0.17899
  235 HSCJ011159-005643  17.996535  -0.945197 0.6384  29.042 0.64490
  236 HSCJ011204-004352  18.016891  -0.731061 0.1770  28.971 0.17939
  237 HSCJ011204+003244  18.016921   0.545600 0.5132  22.521 0.50112
  238 HSCJ011223+001325  18.094094   0.223734 0.9540  22.568 -1.0
  239 HSCJ011229+005500  18.122360   0.916605 0.1785  20.148 -1.0
  240 HSCJ011238+001110  18.159388   0.185977 0.5601  16.372 0.62562
  241 HSCJ011250+000319  18.207931   0.055172 0.2300  15.809 0.24145
  242 HSCJ011254+011732  18.224464   1.292327 0.3620  27.850 -1.0
  243 HSCJ011258+010750  18.240003   1.130556 0.7672  17.924 -1.0
  244 HSCJ011300+004719  18.249686   0.788595 0.3360  19.995 -1.0
  245 HSCJ011300+021556  18.251815   2.265573 0.7941  21.661 -1.0
  246 HSCJ011320+021516  18.331719   2.254512 0.8137  19.639 -1.0
  247 HSCJ011327+012109  18.360817   1.352546 0.7876  19.228 -1.0
  248 HSCJ011333+010628  18.385936   1.107640 0.1318  16.225 0.18786
  249 HSCJ011350+004403  18.457869   0.734112 0.7548  17.712 -1.0
  250 HSCJ011354+004302  18.472977   0.717196 0.4960  18.422 0.50126
  251 HSCJ011404+010648  18.516589   1.113400 0.9564  25.466 -1.0
  252 HSCJ011426+002933  18.606623   0.492430 0.3400  22.869 0.35461
  253 HSCJ011434+004137  18.642278   0.693564 0.3490  16.118 0.35476
  254 HSCJ011457+012431  18.737985   1.408716 0.3507  36.022 0.36978
  255 HSCJ011503-002940  18.763431  -0.494423 0.9800  18.639 -1.0
  256 HSCJ011514-000151  18.806428  -0.030785 0.8440  19.611 0.85295
  257 HSCJ011541+000351  18.920524   0.064091 0.8063  21.774 -1.0
  258 HSCJ011601+004342  19.002572   0.728345 0.7120  19.444 0.73173
  259 HSCJ011610-001844  19.042776  -0.312355 1.1019  18.250 -1.0
  260 HSCJ011622+013017  19.093597   1.504616 0.2460  20.772 -1.0
  261 HSCJ011624-000801  19.101932  -0.133502 0.1780  29.556 0.17662
  262 HSCJ011650+012718  19.207469   1.455132 0.5990  16.691 -1.0
  263 HSCJ011725+005316  19.352136   0.887809 0.5590  16.491 0.62923
  264 HSCJ011743-002624  19.427931  -0.439920 0.2100  16.970 -1.0
  265 HSCJ011743-001127  19.430736  -0.190911 0.5500  22.639 0.55812
  266 HSCJ011808+020018  19.533365   2.005077 0.6660  23.223 -1.0
  267 HSCJ011810+020030  19.541805   2.008419 1.2409  19.650 -1.0
  268 HSCJ011812+010211  19.548559   1.036373 0.2535  28.217 0.27791
  269 HSCJ011816-005036  19.565791  -0.843243 0.7420  18.429 -1.0
  270 HSCJ011902+002257  19.759089   0.382568 0.9840  27.407 -1.0
  271 HSCJ011927+011405  19.862517   1.234759 0.6040  23.993 0.61300
  272 HSCJ011939+023041  19.911227   2.511426 0.2558  17.710 -1.0
  273 HSCJ011943+010512  19.928253   1.086685 0.2601  17.346 -1.0
  274 HSCJ011945+011721  19.936475   1.289177 0.5609  19.549 -1.0
  275 HSCJ011947+004912  19.946402   0.819933 0.7340  33.491 0.73420
  276 HSCJ011958+005533  19.992680   0.925817 0.7220  43.241 -1.0
  277 HSCJ012016+003941  20.068294   0.661471 0.7546  15.746 0.77005
  278 HSCJ012019+004334  20.078822   0.726224 1.0949  22.461 -1.0
  279 HSCJ012030+020942  20.124264   2.161598 1.0200  18.026 -1.0
  280 HSCJ012042+000035  20.174705   0.009854 0.9530  17.127 -1.0
  281 HSCJ012043+011712  20.180407   1.286727 0.9940  20.709 -1.0
  282 HSCJ012054-003133  20.227061  -0.525887 0.1042  17.794 0.09287
  283 HSCJ012058+002108  20.243487   0.352138 0.8121  17.410 -1.0
  284 HSCJ012104+015420  20.265154   1.905447 1.0061  16.385 -1.0
  285 HSCJ012112+003609  20.299104   0.602365 1.2660  19.039 -1.0
  286 HSCJ012128+000119  20.365077   0.021941 0.2040  19.409 0.23207
  287 HSCJ012140+002815  20.418610   0.470767 0.8071  15.971 -1.0
  288 HSCJ012151-001131  20.463312  -0.191931 0.1940  16.514 0.20005
  289 HSCJ012154+015704  20.476852   1.950982 0.9999  15.431 -1.0
  290 HSCJ012203+002004  20.511045   0.334506 0.1720  67.595 0.17452
  291 HSCJ012237-004850  20.652374  -0.813909 0.1674  29.560 0.17263
  292 HSCJ012237-005844  20.652576  -0.978839 0.7120  15.558 -1.0
  293 HSCJ012237+011123  20.655994   1.189699 0.5419  18.606 0.55564
  294 HSCJ012239-000411  20.661039  -0.069860 0.5920  19.151 0.58878
  295 HSCJ012250-005707  20.706430  -0.951992 0.8572  22.311 -1.0
  296 HSCJ012313+021419  20.804734   2.238699 1.2281  22.234 -1.0
  297 HSCJ012324+013903  20.849052   1.650934 0.1260  17.729 -1.0
  298 HSCJ012325+015933  20.852911   1.992636 0.7790  20.686 -1.0
  299 HSCJ012325+011751  20.855299   1.297444 0.7699  15.692 -1.0
  300 HSCJ012333+014313  20.886249   1.720351 1.0735  17.505 -1.0
  301 HSCJ012349-003034  20.954948  -0.509412 0.2287  15.788 0.25393
  302 HSCJ012408+015317  21.032100   1.888188 1.1181  15.044 -1.0
  303 HSCJ012408+011305  21.034417   1.218034 1.0184  24.561 -1.0
  304 HSCJ012412+015352  21.048001   1.897901 0.7000  15.777 0.70079
  305 HSCJ012418+012236  21.073162   1.376620 0.7916  26.277 0.79433
  306 HSCJ012420+013250  21.083637   1.547147 1.0800  20.261 -1.0
  307 HSCJ012451+004342  21.210648   0.728424 0.5151  15.377 0.51503
  308 HSCJ012517+022539  21.319480   2.427444 0.4166  15.017 0.40923
  309 HSCJ012606+011338  21.526806   1.227109 0.2100  24.754 0.20932
  310 HSCJ012628+020330  21.614860   2.058425 0.9983  15.774 -1.0
  311 HSCJ012629+003552  21.622131   0.597680 0.2640  19.952 -1.0
  312 HSCJ012714+002206  21.806761   0.368394 0.3680  56.840 0.33799
  313 HSCJ012724+011808  21.848922   1.302292 0.5565  26.852 0.57074
  314 HSCJ012736+005149  21.901555   0.863725 0.5651  19.371 -1.0
  315 HSCJ012751+002712  21.962473   0.453217 0.2680  19.201 0.28706
  316 HSCJ012815+001608  22.063066   0.269018 0.2640  17.154 0.28685
  317 HSCJ012820-001345  22.083285  -0.229302 0.8551  17.656 -1.0
  318 HSCJ012823+001439  22.094864   0.244033 0.3558  29.134 0.37797
  319 HSCJ012837+000237  22.154041   0.043652 0.3562  40.074 0.39216
  320 HSCJ012906+004014  22.273673   0.670674 0.3472  21.359 0.35319
  321 HSCJ012944+012535  22.431917   1.426477 0.8131  17.685 -1.0
  322 HSCJ012955+003839  22.478396   0.644136 0.6760  18.375 -1.0
